0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0
0,0,10,10,10,23,17,9,1,9,17,23,10,10,10,0,0
0,10,10,31,28,24,18,10,2,10,18,24,28,31,10,10,0
0,10,31,32,29,25,19,11,3,11,19,25,29,32,31,10,0
10,10,28,29,30,26,20,12,4,12,20,26,30,29,28,10,10
10,23,24,25,26,27,21,13,5,13,21,27,26,25,24,23,10
10,17,18,19,20,21,22,14,6,14,22,21,20,19,18,17,10
10,9,10,11,12,13,14,15,7,15,14,13,12,11,10,9,10
10,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,10
10,9,10,11,12,13,14,15,7,15,14,13,12,11,10,9,10
10,17,18,19,20,21,22,14,6,14,22,21,20,19,18,17,10
10,23,24,25,26,27,21,13,5,13,21,27,26,25,24,23,10
10,10,28,29,30,26,20,12,4,12,20,26,30,29,28,10,10
0,10,31,32,29,25,19,11,3,11,19,25,29,32,31,10,0
0,10,10,31,28,24,18,10,2,10,18,24,28,31,10,10,0
0,0,10,10,10,23,17,9,1,9,17,23,10,10,10,0,0
0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0
